SSID,BSSID,Signal,Channel,Vendor
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-69,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-73,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-83,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-85,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-63,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-76,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-76,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-68,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-66,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-73,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-80,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-62,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-64,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-84,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-64,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-84,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-83,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-84,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-61,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-68,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-67,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-75,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-80,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-71,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-61,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-83,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-60,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-75,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-68,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-63,0,Unknown
mrkunwar_2.4,04:75:f9:1a:a3:a5:,-80,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-78,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-61,0,Unknown
internet1,04:75:f9:04:8a:39:,-75,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-61,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-60,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-72,0,Unknown
mrkunwar_2.4,04:75:f9:1a:a3:a5:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-75,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-79,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-60,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-60,0,Unknown
ALHN-5E6B-5,04:75:f9:27:4e:35:,-81,0,Unknown
shahisneha_5,e0:3d:a6:38:d3:9d:,-61,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-83,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-74,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-78,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-71,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-60,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-78,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-54,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-86,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-82,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-74,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-58,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-76,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-65,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-84,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-81,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-75,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-79,0,Unknown
prembasnet,04:75:f9:06:e3:bd:,-87,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-60,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
Ram@ClassicTech,50:6f:77:cd:dc:f4:,-84,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-60,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-75,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-79,0,Unknown
prembasnet,04:75:f9:06:e3:bd:,-87,0,Unknown
mildhigh-5G,04:20:84:50:bd:2a:,-80,0,Unknown
ALHN-5E6B-5,04:75:f9:27:4e:35:,-82,0,Unknown
shahisneha_5,e0:3d:a6:38:d3:9d:,-60,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-84,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-81,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-60,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-70,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
Ram@ClassicTech,50:6f:77:cd:dc:f4:,-84,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-60,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-75,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-79,0,Unknown
prembasnet,04:75:f9:06:e3:bd:,-87,0,Unknown
mildhigh-5G,04:20:84:50:bd:2a:,-80,0,Unknown
ALHN-5E6B-5,04:75:f9:27:4e:35:,-82,0,Unknown
shahisneha_5,e0:3d:a6:38:d3:9d:,-60,0,Unknown
durgashanti_5,dc:d9:ae:56:e0:9d:,-84,0,Unknown
rajendrabc_5,dc:d9:ae:56:c4:1d:,-81,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-71,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-83,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-63,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-82,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-66,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-64,0,Unknown
mrkunwar_2.4,04:75:f9:1a:a3:a5:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-78,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-80,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-56,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-82,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-70,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-62,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-72,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-82,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-59,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-76,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-62,0,Unknown
rajendrabc_2,dc:d9:ae:56:c4:19:,-74,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-66,0,Unknown
mrkunwar_2.4,04:75:f9:1a:a3:a5:,-76,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-81,0,Unknown
internet1,04:75:f9:04:8a:39:,-78,0,Unknown
prembasnet,04:75:f9:06:e3:b9:,-79,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-33,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-69,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-33,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
minila_5,04:75:f9:04:18:fd:,-78,0,Unknown
pradipnet_5,c8:9c:bb:6e:2a:3d:,-78,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-58,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-68,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-66,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-58,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-66,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-81,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-67,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-72,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-69,0,Unknown
STWCU_LR-9,e0:01:a6:80:cc:13:,-82,0,Unknown
Unknown,a8:32:9a:0c:63:8b:,-78,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-41,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-38,0,Unknown
sudhir007,04:75:f9:08:ae:a9:,-74,0,Unknown
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-70,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-84,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-32,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-42,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-32,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-42,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-82,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-75,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-43,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-42,0,Unknown
pradipnet_2,c8:9c:bb:6e:2a:39:,-76,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-68,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-62,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-81,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-71,0,Unknown
sarita@vianet,5c:a4:f4:f5:ba:5e:,-76,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-55,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-37,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-82,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-33,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
STWCU_AI_AP4,e0:01:a6:80:c9:0b:,-90,0,Unknown
STWCU_LR-9,e0:01:a6:80:cc:13:,-88,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-47,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-83,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-70,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-71,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-62,0,Unknown
STWCU_SL-6,b8:6a:97:44:6f:26:,-83,0,Unknown
sarita@vianet,5c:a4:f4:f5:ba:5e:,-74,0,Unknown
rajankrishnastha,d8:b0:20:26:e4:f9:,-80,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-58,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-56,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-35,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-77,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-80,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1a:,-74,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-33,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
RESEARCH_LAB,b8:6a:97:14:3f:7f:,-89,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
STWCU_AI_AP3,e0:01:a6:80:c5:77:,-88,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-47,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-40,0,Unknown
pradipnet_2,c8:9c:bb:6e:2a:39:,-74,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-82,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-66,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-73,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-60,0,Unknown
bishalkhetan_2.4,dc:8d:8a:f0:cc:4a:,-82,0,Unknown
rajankrishnastha,d8:b0:20:26:e4:f9:,-81,0,Unknown
